link,link-href,linked,linked-href,pagination,pagination-href
"","","[ORIGINAL] ZTE Blade A610 5"" 4G LTE 2GB RAM+16GB ROM(MALAYSIA
WARRANTY)","https://www.lazada.com.my/original-zte-blade-a610-5-4g-lte-2gb-ram16gb-rommalaysiawarranty-27778325.html?ff=1&sc=EwI=","100","https://www.lazada.com.my/shop-mobiles-tablets/?page=100&q=Tablets+and+E-readers&sc=EwI%3D"
"","","E-Reader And Smart Phone Holder Tablet PC Stand For iPhone
iPadWhite","https://www.lazada.com.my/e-reader-and-smart-phone-holder-tablet-pc-stand-for-iphoneipadwhite-21528603.html?ff=1&sc=EwI=","",""
"","","Hello Kitty Powerbank With Mirror Design- 8800mAH","https://www.lazada.com.my/hello-kitty-powerbank-with-mirror-design-8800mah-69316887.html?ff=1&sc=EwI=","100","https://www.lazada.com.my/shop-mobiles-tablets/?page=100&q=Tablets+and+E-readers&sc=EwI%3D"
"","","Universal 360° Angle iPad Stand LYBALL Portable Durable AdjustableHolder for Tablets E-readers and Smartphones Apple iPhone SamsungGalaxy / Tab HTC Google Nexus Pixel LG OnePlus HUAWEI LG (White)","https://www.lazada.com.my/universal-360-angle-ipad-stand-lyball-portable-durable-adjustableholder-for-tablets-e-readers-and-smartphones-apple-iphone-samsunggalaxy-tab-htc-google-nexus-pixel-lg-oneplus-huawei-lg-white-109307138.html?ff=1&sc=EwI=","",""
"","","Steel Blue Padpod Mini Beanbag for iPad, Tablets, e-Readers and Books","https://www.lazada.com.my/steel-blue-padpod-mini-beanbag-for-ipad-tablets-e-readers-and-books-76783620.html?ff=1&sc=EwI=","4","https://www.lazada.com.my/shop-mobiles-tablets/?page=4&q=Tablets+and+E-readers&sc=EwI%3D"
"","","Multi-Angle Aluminum Stand for Tablets e-readers and Smartphones","https://www.lazada.com.my/multi-angle-aluminum-stand-for-tablets-e-readers-and-smartphones-71309188.html?ff=1&sc=EwI=","4","https://www.lazada.com.my/shop-mobiles-tablets/?page=4&q=Tablets+and+E-readers&sc=EwI%3D"
"","","Smart 360° Rotation Universal Flexible Adjustable Lazy Bracket
2-Clip Car Holder Bed Desktop Mount Stand For Smart Phone Tablet
GPS Camera SM0009 (Black)","https://www.lazada.com.my/smart-360-rotation-universal-flexible-adjustable-lazy-bracket2-clip-car-holder-bed-desktop-mount-stand-for-smart-phone-tabletgps-camera-sm0009-black-24440210.html?ff=1&sc=EwI=","1","https://www.lazada.com.my/shop-mobiles-tablets/?q=Tablets+and+E-readers&sc=EwI%3D"
"","","Original Box Cube Mix Plus 128GB Intel Kaby Lake 7Y30 Dual Core
10.6 Inch Windows 10 Tablet PC","https://www.lazada.com.my/original-box-cube-mix-plus-128gb-intel-kaby-lake-7y30-dual-core106-inch-windows-10-tablet-pc-46657959.html?ff=1&sc=EwI=","100","https://www.lazada.com.my/shop-mobiles-tablets/?page=100&q=Tablets+and+E-readers&sc=EwI%3D"
"","","Tecboss Multi-Angle Portable Stand for Tablets, E-readers and
Phones Compatible for iPhone, iPad, Samsung Galaxy / Tab, Google
Nexus, HTC, LG, Nokia Lumia, OnePlus and More 4-10 inch - Space
Grey","https://www.lazada.com.my/tecboss-multi-angle-portable-stand-for-tablets-e-readers-andphones-compatible-for-iphone-ipad-samsung-galaxy-tab-googlenexus-htc-lg-nokia-lumia-oneplus-and-more-4-10-inch-spacegrey-84237449.html?ff=1&sc=EwI=","5","https://www.lazada.com.my/shop-mobiles-tablets/?page=5&q=Tablets+and+E-readers&sc=EwI%3D"
"","","Portable Cell Phone and iPad Stand,MOPO Tablet Stand Universal Holder Dock,Cradle With Dual Adjustable Panels phone stand for iPhone,iPad,Tablet,Samsung,E-reader and all Smart phone Devices(Dark Gray)","https://www.lazada.com.my/portable-cell-phone-and-ipad-standmopo-tablet-stand-universal-holder-dockcradle-with-dual-adjustable-panels-phone-stand-for-iphoneipadtabletsamsunge-reader-and-all-smart-phone-devicesdark-gray-90020870.html?ff=1&sc=EwI=","4","https://www.lazada.com.my/shop-mobiles-tablets/?page=4&q=Tablets+and+E-readers&sc=EwI%3D"
"","","Tablet Stand Holder Bed, Portable iPad Stands and Holders, Foldable Phone Holders Mount for E-readers, iPhone, Cell Phone, Galaxy Tab, LG, Sofa, Floor & Outdoor-Gray Blue","https://www.lazada.com.my/tablet-holder-bed-foldable-adjustable-phone-holder-stand-portableipad-stand-cell-phone-stand-holder-for-ipad-e-readers-iphonegalaxy-tab-lg-on-bed-sofa-floor-outdoor-gray-blue-71671147.html?ff=1&sc=EwI=","5","https://www.lazada.com.my/shop-mobiles-tablets/?page=5&q=Tablets+and+E-readers&sc=EwI%3D"
"","","UNITEK Universal Multi Device Organizer Stand Holder for Tablets Smartphones and e-readers,iPhone, iPad, Samsung Galaxy / Tab, Google Nexus, HTC, LG, Nokia Lumia, OnePlus and More","https://www.lazada.com.my/unitek-universal-multi-device-organizer-stand-holder-for-tablets-smartphones-and-e-readersiphone-ipad-samsung-galaxy-tab-google-nexus-htc-lg-nokia-lumia-oneplus-and-more-105423314.html?ff=1&sc=EwI=","2","https://www.lazada.com.my/shop-mobiles-tablets/?page=2&q=Tablets+and+E-readers&sc=EwI%3D"
"","","Smart Gaming High Speed 480MBPS 4 Port USB 2.0 Hub Individual Power
On/Off Switch LED Indicator Light Travel Home USB
Sync For Laptop PC Notebook Smart Phone Tablet SM0025 (Black)","https://www.lazada.com.my/smart-gaming-high-speed-480mbps-4-port-usb-20-hub-individual-poweronoff-switchnbsplednbspindicator-lightnbsptravel-home-usbsync-for-laptop-pc-notebook-smart-phonenbsptablet-sm0025-black-28681398.html?ff=1&sc=EwI=","1","https://www.lazada.com.my/shop-mobiles-tablets/?q=Tablets+and+E-readers&sc=EwI%3D"
"","","iPad Stand, KINGCOO Portable Aluminum Stand for iPad Pro, iPad 2 3 4,iPad Air,iPad Mini,Samsung Galaxy Tab 4 Tab S2,Surface Pro 4/3 and Other Tablets, Smart-phones or E-readers - Gold","https://www.lazada.com.my/ipad-stand-kingcoo-portable-aluminum-stand-for-ipad-pro-ipad-2-3-4ipad-airipad-minisamsung-galaxy-tab-4-tab-s2surface-pro-43-and-other-tablets-smart-phones-or-e-readers-gold-94206307.html?ff=1&sc=EwI=","",""
"","","Apple iPhone 6 Plus 64GB (Gold)","https://www.lazada.com.my/apple-iphone-6-plus-64gb-gold-19105921.html?ff=1&sc=EwI=","100","https://www.lazada.com.my/shop-mobiles-tablets/?page=100&q=Tablets+and+E-readers&sc=EwI%3D"
"","","Multi-Angle Aluminum Stand for Tablets e-readers and Smartphones","https://www.lazada.com.my/multi-angle-aluminum-stand-for-tablets-e-readers-and-smartphones-16533896.html?ff=1&sc=EwI=","4","https://www.lazada.com.my/shop-mobiles-tablets/?page=4&q=Tablets+and+E-readers&sc=EwI%3D"
"","","Prepara iPrep Foldable/Adjustable e-reader, phone and tablet stand
for iPads, iPad Air, iPad mini, iPhone, Surface, Kindle Fire, Nook,
Samsung, White","https://www.lazada.com.my/prepara-iprep-foldableadjustable-e-reader-phone-and-tablet-standfor-ipads-ipad-air-ipad-mini-iphone-surface-kindle-fire-nooksamsung-white-85436040.html?ff=1&sc=EwI=","5","https://www.lazada.com.my/shop-mobiles-tablets/?page=5&q=Tablets+and+E-readers&sc=EwI%3D"
"","","Genuine SEAGATE HDD 1.2M USB 3.0 Type A to Micro B Cable","https://www.lazada.com.my/genuine-seagate-hdd-12m-usb-30-type-a-to-micro-b-cable-33474099.html?ff=1&sc=EwI=","100","https://www.lazada.com.my/shop-mobiles-tablets/?page=100&q=Tablets+and+E-readers&sc=EwI%3D"
"","","Tecboss Multi-Angle Portable Stand for Tablets, E-readers and Phones Compatible for iPhone, iPad, Samsung Galaxy / Tab, Google Nexus, HTC, LG, Nokia Lumia, OnePlus and More 4-10 inch - Silver","https://www.lazada.com.my/tecboss-multi-angle-portable-stand-for-tablets-e-readers-and-phones-compatible-for-iphone-ipad-samsung-galaxy-tab-google-nexus-htc-lg-nokia-lumia-oneplus-and-more-4-10-inch-silver-73307973.html?ff=1&sc=EwI=","2","https://www.lazada.com.my/shop-mobiles-tablets/?page=2&q=Tablets+and+E-readers&sc=EwI%3D"
"","","100% Original Apple Iphone 7 Seal Box","https://www.lazada.com.my/100-original-apple-iphone-7-seal-box-92267646.html?ff=1&sc=EwI=","100","https://www.lazada.com.my/shop-mobiles-tablets/?page=100&q=Tablets+and+E-readers&sc=EwI%3D"
"","","Universal Phone Charging Stand/Dock(Blk). 1 Dock for any phone/tablet.LG,HTC,Huawei,Samsung,Iphones,Galaxy,Edge,Nokia,Sony,Nexus,Pixel,Tab,E-Readers,MicroUSB,TypeC, Lighting, phones and tablets","https://www.lazada.com.my/universal-phone-charging-standdockblk-1-dock-for-any-phonetabletlghtchuaweisamsungiphonesgalaxyedgenokiasonynexuspixeltabe-readersmicrousbtypec-lighting-phones-and-tablets-93155205.html?ff=1&sc=EwI=","5","https://www.lazada.com.my/shop-mobiles-tablets/?page=5&q=Tablets+and+E-readers&sc=EwI%3D"
"","","UPERGO Floor Stand for Cell Phones, Tablets and E-readers, Height Adjustable, Flexible Gooseneck(UP-9S), Silver","https://www.lazada.com.my/upergo-floor-stand-for-cell-phones-tablets-and-e-readers-height-adjustable-flexible-gooseneckup-9s-silver-94198789.html?ff=1&sc=EwI=","2","https://www.lazada.com.my/shop-mobiles-tablets/?page=2&q=Tablets+and+E-readers&sc=EwI%3D"
"","","Aibocn Multi-angle Rotary Aluminum Digital Stand for Tablets Smartphones and E-readers Compatible With iPhone, iPad, iPod, Samsung Galaxy / Tab, HTC, Google Nexus, Honor, LG, BLU and More, Silver","https://www.lazada.com.my/aibocn-multi-angle-rotary-aluminum-digital-stand-for-tablets-smartphones-and-e-readers-compatible-with-iphone-ipad-ipod-samsung-galaxy-tab-htc-google-nexus-honor-lg-blu-and-more-silver-72790975.html?ff=1&sc=EwI=","2","https://www.lazada.com.my/shop-mobiles-tablets/?page=2&q=Tablets+and+E-readers&sc=EwI%3D"
"","","Black Padpod Mini Beanbag for iPad, Tablets, e-Readers and Books","https://www.lazada.com.my/black-padpod-mini-beanbag-for-ipad-tablets-e-readers-and-books-76784241.html?ff=1&sc=EwI=","",""
"","","KEEEP Innovative Holder, Grip and Stand accessories for Mobile Devices, Cell Phones, Tablets, e-Readers, Mobile Gaming Devices and Cases","https://www.lazada.com.my/keeep-innovative-holder-grip-and-stand-accessories-for-mobile-devices-cell-phones-tablets-e-readers-mobile-gaming-devices-and-cases-94318940.html?ff=1&sc=EwI=","",""
"","","Anker Portable Multi-Angle Stand for Tablets, e-readers and Smartphones, Compatible with iPhone, iPad, Samsung Galaxy / Tab, Google Nexus, HTC, LG, Nokia Lumia, OnePlus and More (Silver)","https://www.lazada.com.my/anker-portable-multi-angle-stand-for-tablets-e-readers-and-smartphones-compatible-with-iphone-ipad-samsung-galaxy-tab-google-nexus-htc-lg-nokia-lumia-oneplus-and-more-silver-92130504.html?ff=1&sc=EwI=","2","https://www.lazada.com.my/shop-mobiles-tablets/?page=2&q=Tablets+and+E-readers&sc=EwI%3D"
"","","Car Windscreen Tablet Mount Stand Holder For ipad 1 2 3 4 5 Air
mini 1 2 for 7""-10.1"" inch tablet pc","https://www.lazada.com.my/car-windscreen-tablet-mount-stand-holder-for-ipad-1-2-3-4-5-airmini-1-2-for-7-101-inch-tablet-pc-21762511.html?ff=1&sc=EwI=","3","https://www.lazada.com.my/shop-mobiles-tablets/?page=3&q=Tablets+and+E-readers&sc=EwI%3D"
