link,link-href,linked,linked-href,pagination,pagination-href
"","","X2 Couples Wristband Heart Rate Monitor Smart Watches Blood Pressure Monitor Smart Band Bluetooth IP68 Water Proof Swim Bracelet Fitness Tracker","https://www.lazada.com.my/x2-couples-wristband-heart-rate-monitor-smart-watches-blood-pressure-monitor-smart-band-bluetooth-ip68-water-proof-swim-bracelet-fitness-tracker-52898696.html?ff=1&sc=Eeog","4","https://www.lazada.com.my/wearable-technology/?page=4&sc=Eeog&searchredirect=Wearable+Technology"
"","","MAXGear I5 Plus Waterproof IP65 Bluetooth 4.0 Health Sport Fitness Smart Watch Wristband Android IOS - Black","https://www.lazada.com.my/maxgear-i5-plus-waterproof-ip65-bluetooth-40-health-sport-fitness-smart-watch-wristband-android-ios-black-12305697.html?ff=1&sc=Eeog","2","https://www.lazada.com.my/wearable-technology/?page=2&sc=Eeog&searchredirect=Wearable+Technology"
"","","11 Colors Wrist Strap for Xiao Mi Band 2 Tracker Silicone","https://www.lazada.com.my/11-colors-wrist-strap-for-xiao-mi-band-2-tracker-silicone-14968340.html?ff=1&sc=Eeog","4","https://www.lazada.com.my/wearable-technology/?page=4&sc=Eeog&searchredirect=Wearable+Technology"
"","","Q18 Smart watch with Touch Screen camera Support SIM TF card
Bluetooth smartwatch for Android IOS Phone","https://www.lazada.com.my/q18-smart-watch-with-touch-screen-camera-support-sim-tf-cardbluetooth-smartwatch-for-android-ios-phone-35294075.html?ff=1&sc=Eeog","3","https://www.lazada.com.my/wearable-technology/?page=3&sc=Eeog&searchredirect=Wearable+Technology"
"","","Mi Band 2 (1 Year Official Warranty)","https://www.lazada.com.my/mi-band-2-1-year-official-warranty-16320193.html?ff=1&sc=Eeog","",""
"","","EsoGoal Fitness Tracker Smart Bracelet Bluetooth Heart Rate Monitor Activity Watch Wristband Pedometer Sleep Bracelet Calories Track Step Health Band IP 57 Waterproof Smart Watch for iPhone & Android phones","https://www.lazada.com.my/esogoal-fitness-tracker-smart-bracelet-bluetooth-heart-rate-monitor-activity-watch-wristband-pedometer-sleep-bracelet-calories-track-step-health-band-ip-57-waterproof-smart-watch-for-iphone-amp-android-phones-56169624.html?ff=1&sc=Eeog","1","https://www.lazada.com.my/wearable-technology/?sc=Eeog&searchredirect=Wearable+Technology"
"","","Smart Bluetooth A1 Smart Watch with Sport Pedometer Camera SIM
micro SD Memory Connectivity with iPhone Android Phone MG0053
(Black/Black) (Free 2pcs Li-ion Battery for Smartwatch A1 DZ09 W8
V8)","https://www.lazada.com.my/smart-bluetooth-a1-smart-watch-with-sport-pedometer-camera-simmicro-sd-memory-connectivity-with-iphone-android-phone-mg0053blackblack-free-2pcs-li-ion-battery-for-smartwatch-a1-dz09-w8v8-35590802.html?ff=1&sc=Eeog","4","https://www.lazada.com.my/wearable-technology/?page=4&sc=Eeog&searchredirect=Wearable+Technology"
"","","The latest R3 smart bracelet IP67 waterproof Bluetooth 4.0 health brake call SMS alarm smart bracelet Android IOS","https://www.lazada.com.my/the-latest-r3-smart-bracelet-ip67-waterproof-bluetooth-40-health-brake-call-sms-alarm-smart-bracelet-android-ios-80015514.html?ff=1&sc=Eeog","4","https://www.lazada.com.my/wearable-technology/?page=4&sc=Eeog&searchredirect=Wearable+Technology"
"","","Smart Bracelet M2 Heart Rate Monitor Bluetooth Smartband Health Fitness Tracker Smart Band OLED Screen IP67 Waterproof Wristband for all Android iOS Phone","https://www.lazada.com.my/smart-bracelet-m2-heart-rate-monitor-bluetooth-smartband-health-fitness-tracker-smart-band-oled-screen-ip67-waterproof-wristband-for-all-android-ios-phone-47658444.html?ff=1&sc=Eeog","2","https://www.lazada.com.my/wearable-technology/?page=2&sc=Eeog&searchredirect=Wearable+Technology"
"","","Original Xiaomi Mi Band 2 Screen Protector ONLY Heart Rate Monitor
Smart Wristband With OLED Display Android IOS","https://www.lazada.com.my/original-xiaomi-mi-band-2-screen-protector-only-heart-rate-monitorsmart-wristband-with-oled-display-android-ios-69303130.html?ff=1&sc=Eeog","5","https://www.lazada.com.my/wearable-technology/?page=5&sc=Eeog&searchredirect=Wearable+Technology"
"","","Fashion Silicone Diamond Style Replacement Wristband Strap Bracelet Smart Band Accessories for Xiaomi Mi Band 2 Black","https://www.lazada.com.my/fashion-silicone-diamond-style-replacement-wristband-strap-bracelet-smart-band-accessories-for-xiaomi-mi-band-2-black-92607272.html?ff=1&sc=Eeog","5","https://www.lazada.com.my/wearable-technology/?page=5&sc=Eeog&searchredirect=Wearable+Technology"
"","","DZ09 Smart Watch Bluetooth TouchScreenforAndroidandiOS(SilverBlack)","https://www.lazada.com.my/dz09-smart-watch-bluetooth-touchscreenforandroidandiossilverblack-11006289.html?ff=1&sc=Eeog","",""
"","","1 Pcs Silicone Wrist Blet Strap Wristband Bracelet Accessories for
Mi Band 2 Fitness Tracker","https://www.lazada.com.my/1-pcs-silicone-wrist-blet-strap-wristband-bracelet-accessories-formi-band-2-fitness-tracker-88980118.html?ff=1&sc=Eeog","5","https://www.lazada.com.my/wearable-technology/?page=5&sc=Eeog&searchredirect=Wearable+Technology"
"","","LEJI Mini VR 3D Headset Virtual Reality Glasses Blue","https://www.lazada.com.my/leji-mini-vr-3d-headset-virtual-reality-glasses-blue-12335196.html?ff=1&sc=Eeog","100","https://www.lazada.com.my/wearable-technology/?page=100&sc=Eeog&searchredirect=Wearable+Technology"
"","","Y2 Plus Wristband Blood Pressure Blood Oxygen Monitor Smart Watch
Heart Rate Monitor Smart Band IP67 Waterproof Fitness Tracker
Bracelet","https://www.lazada.com.my/y2-plus-wristband-blood-pressure-blood-oxygen-monitor-smart-watchheart-rate-monitor-smart-band-ip67-waterproof-fitness-trackerbracelet-29020032.html?ff=1&sc=Eeog","2","https://www.lazada.com.my/wearable-technology/?page=2&sc=Eeog&searchredirect=Wearable+Technology"
"","","Fitbit Charge 2 Heart Rate + Activity Tracker, Large 16.5 cm - 20.6 - Blue","https://www.lazada.com.my/fitbit-charge-2-heart-rate-fitness-wristband-large-blue-fb407sbul-19211863.html?ff=1&sc=Eeog","2","https://www.lazada.com.my/wearable-technology/?page=2&sc=Eeog&searchredirect=Wearable+Technology"
"","","Silicone Watch Band Strap for Garmin Forerunner 220 230 235 620 630
735 GPS Watch","https://www.lazada.com.my/silicone-watch-band-strap-for-garmin-forerunner-220-230-235-620-630735-gps-watch-86514213.html?ff=1&sc=Eeog","4","https://www.lazada.com.my/wearable-technology/?page=4&sc=Eeog&searchredirect=Wearable+Technology"
"","","Huawei Honor Band SS with Touch Feel Function 395mm (Brown)","https://www.lazada.com.my/huawei-honor-band-ss-with-touch-feel-function-395mm-brown-35883634.html?ff=1&sc=Eeog","",""
"","","Original Xiaomi Mi Band 2 Miband 2 Silicone Wrist Watch Strap -
Black","https://www.lazada.com.my/original-xiaomi-mi-band-2-miband-2-silicone-wrist-watch-strap-black-29099331.html?ff=1&sc=Eeog","4","https://www.lazada.com.my/wearable-technology/?page=4&sc=Eeog&searchredirect=Wearable+Technology"
"","","VR Box II 2nd Generation Virtual Reality 3D Glasses Headset VRBOX Gear Version 2 VR Box 2 with Remote Controller","https://www.lazada.com.my/vr-box-ii-2nd-generation-virtual-reality-3d-glasses-headset-vrbox-gear-version-2-vr-box-2-with-remote-controller-11613991.html?ff=1&sc=Eeog","3","https://www.lazada.com.my/wearable-technology/?page=3&sc=Eeog&searchredirect=Wearable+Technology"
"","","MagicWorldMall 38 Degree Health Bluetooth Data Smart Bracelet Dynamic Heart Rate Blood Pressure Monitor Smart Watch Blue","https://www.lazada.com.my/magicworldmall-38-degree-health-bluetooth-data-smart-bracelet-dynamic-heart-rate-blood-pressure-monitor-smart-watch-blue-94952457.html?ff=1&sc=Eeog","3","https://www.lazada.com.my/wearable-technology/?page=3&sc=Eeog&searchredirect=Wearable+Technology"
"","","New Smart Bluetooth Anti lost alarm Tracker GPS Locator kids Wallet
Key Pet Dog (Black)","https://www.lazada.com.my/new-smart-bluetooth-anti-lost-alarm-tracker-gps-locator-kids-walletkey-pet-dog-black-18186154.html?ff=1&sc=Eeog","5","https://www.lazada.com.my/wearable-technology/?page=5&sc=Eeog&searchredirect=Wearable+Technology"
"","","10 pcs Silicone Replacement Watchband Watch Band Strap for Xiaomi Mi Band 2 Smart Bracelet","https://www.lazada.com.my/10-pcs-silicone-replacement-watchband-watch-band-strap-for-xiaomi-mi-band-2-smart-bracelet-14662405.html?ff=1&sc=Eeog","1","https://www.lazada.com.my/wearable-technology/?sc=Eeog&searchredirect=Wearable+Technology"
"","","VRBOX 2.0 Version VR Virtual Reality Glasses for 3.5"" - 6.0""Smart
Phone + Bluetooh Remote Controller B with Retail box","https://www.lazada.com.my/vrbox-20-version-vr-virtual-reality-glasses-for-35-60smartphone-bluetooh-remote-controller-b-with-retail-box-15021015.html?ff=1&sc=Eeog","5","https://www.lazada.com.my/wearable-technology/?page=5&sc=Eeog&searchredirect=Wearable+Technology"
"","","BlitzWolf? BW-VR3 3D VR Glasses Virtual Reality Headset For 3.5-6.3
inch Mobile Phone","https://www.lazada.com.my/blitzwolf-bw-vr3-3d-vr-glasses-virtual-reality-headset-for-35-63inch-mobile-phone-17560329.html?ff=1&sc=Eeog","3","https://www.lazada.com.my/wearable-technology/?page=3&sc=Eeog&searchredirect=Wearable+Technology"
"","","DZ09 Bluetooth Smart Watch For Android And IOS (Best Offer)","https://www.lazada.com.my/dz09-bluetooth-smart-watch-for-android-and-ios-best-offer-67739159.html?ff=1&sc=Eeog","2","https://www.lazada.com.my/wearable-technology/?page=2&sc=Eeog&searchredirect=Wearable+Technology"
"","","Iwatch Smart Bracelet (Black)","https://www.lazada.com.my/iwatch-smart-bracelet-black-9479779.html?ff=1&sc=Eeog","1","https://www.lazada.com.my/wearable-technology/?sc=Eeog&searchredirect=Wearable+Technology"
"","","Fitbit Flex 2 Activity Tracker, 2 sizes in box – Magenta","https://www.lazada.com.my/fitbit-flex-2-activity-tracker-2-sizes-in-box-magenta-101905472.html?ff=1&sc=Eeog","4","https://www.lazada.com.my/wearable-technology/?page=4&sc=Eeog&searchredirect=Wearable+Technology"
"","","Xiaomi Mi Band 2 Smart Bluetooth Wristband (Black)","https://www.lazada.com.my/xiaomi-mi-band-2-smart-bluetooth-wristband-black-11045115.html?ff=1&sc=Eeog","",""
